"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2348","California","Placer","No Samples in Last Week","2024-05-22","130000","38.760216152792246","-121.28681309897058","April 20, 2025 - April 26, 2025"
"2","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.86708851864267","-79.024176148252","April 20, 2025 - April 26, 2025"
"3","ID:1720","Oregon","Clatsop","No Samples in Last Week","2022-12-08","11326","46.17105066764508","-123.81348015335999","April 20, 2025 - April 26, 2025"
"4","ID:149","California","San Francisco","No Samples in Last Week","2024-12-10","9923","37.85704631181363","-122.5146762562939","April 20, 2025 - April 26, 2025"
"5","ID:25","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9848","33.291302035553855","-112.02310327443818","April 20, 2025 - April 26, 2025"
"6","ID:28","Arizona","Maricopa","No Samples in Last Week","2024-11-05","6500","33.278245291932485","-111.948448463434","April 20, 2025 - April 26, 2025"
"7","ID:1843","Texas","Andrews","No Samples in Last Week","2024-08-06","13502","32.349110121158745","-102.4556450851102","April 20, 2025 - April 26, 2025"
"8","ID:1485","North Carolina","Onslow","No Samples in Last Week","2025-01-07","41819","34.876275232823524","-77.58088645995912","April 20, 2025 - April 26, 2025"
"9","ID:154","California","San Francisco","No Samples in Last Week","2024-11-26","4416","37.609692607108","-122.49251272672508","April 20, 2025 - April 26, 2025"
"10","ID:1751","Oregon","Wasco","No Samples in Last Week","2024-07-11","15276","45.59990184874259","-121.19465479641465","April 20, 2025 - April 26, 2025"
"11","ID:27","Arizona","Maricopa","No Samples in Last Week","2024-11-12","23746","33.61707121258963","-111.95187285532201","April 20, 2025 - April 26, 2025"
"12","ID:1539","Ohio","Cuyahoga","No Samples in Last Week","2025-03-25","313158","41.5138831939851","-81.58351307460762","April 20, 2025 - April 26, 2025"
"13","ID:1489","North Carolina","Pitt","No Samples in Last Week","2024-04-30","89616","35.615507694416486","-77.39592406101207","April 20, 2025 - April 26, 2025"
"14","ID:1479","North Carolina","Mecklenburg","No Samples in Last Week","2024-11-25","120000","35.35653885424906","-80.77896594680351","April 20, 2025 - April 26, 2025"
"15","ID:180","California","Santa Cruz, Monterey","No Samples in Last Week","2024-05-22","60000","36.984439366944905","-121.81329206871919","April 20, 2025 - April 26, 2025"
"16","ID:2455","Arizona","Maricopa","No Samples in Last Week","2025-03-17","37000","33.47200605335841","-112.2693965397508","April 20, 2025 - April 26, 2025"
"17","ID:111","California","Lake","No Samples in Last Week","2024-11-18","13200","38.958743474151554","-122.6362873165991","April 20, 2025 - April 26, 2025"
"18","ID:16","Alaska","Juneau","No Samples in Last Week","2024-09-05","22000","58.26712250434978","-134.65113639457084","April 20, 2025 - April 26, 2025"
"19","ID:26","Arizona","Maricopa","No Samples in Last Week","2024-11-05","12542","33.51021236798785","-112.09150388393984","April 20, 2025 - April 26, 2025"
"20","ID:628","Louisiana","Lafayette","No Samples in Last Week","2024-09-06","20000","30.08870491674651","-92.00024217039484","April 20, 2025 - April 26, 2025"
"21","ID:1450","North Carolina","Buncombe, Henderson","No Samples in Last Week","2024-03-26","173000","35.639849815392196","-82.56612722992844","April 20, 2025 - April 26, 2025"
"22","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","37.752073","-122.376561","April 20, 2025 - April 26, 2025"
"23","ID:2296","Arizona","Coconino","No Samples in Last Week","2024-11-13","80000","35.23611691744211","-111.57058016966509","April 20, 2025 - April 26, 2025"
"24","ID:1859","Texas","Kaufman, Collin, Dallas","No Samples in Last Week","2024-09-11","370000","32.94423746425547","-96.70064016253028","April 20, 2025 - April 26, 2025"
"25","ID:1540","Ohio","Cuyahoga, Summit, Lorain","No Samples in Last Week","2025-03-25","524154","41.45718087400706","-81.58637882577958","April 20, 2025 - April 26, 2025"
"26","ID:1502","North Carolina","Wake","No Samples in Last Week","2024-11-28","30655","35.97385330223019","-78.52213008155404","April 20, 2025 - April 26, 2025"
"27","ID:2347","California","Santa Barbara","No Samples in Last Week","2024-05-22","97000","34.42897114388761","-119.87255821941389","April 20, 2025 - April 26, 2025"
"28","ID:1687","Ohio","Washington","No Samples in Last Week","2025-02-23","15284","39.422478389709674","-81.45173818666426","April 20, 2025 - April 26, 2025"
"29","ID:30","Arizona","Maricopa","No Samples in Last Week","2024-11-12","19260","33.70764494934018","-112.42970715556417","April 20, 2025 - April 26, 2025"
"30","ID:1431","New York","Tompkins","No Samples in Last Week","2024-06-11","90000","42.43879047609868","-76.55035195324228","April 20, 2025 - April 26, 2025"
"31","ID:106","California","Kern","No Samples in Last Week","2024-11-19","168750","35.333073967418194","-119.06961443202067","April 20, 2025 - April 26, 2025"
"32","ID:1683","Ohio","Union","No Samples in Last Week","2025-02-23","24677","40.19113345927829","-83.38109804575068","April 20, 2025 - April 26, 2025"
"33","ID:629","Louisiana","Lafayette","No Samples in Last Week","2024-09-06","13000","30.18497447890199","-91.94396636683989","April 20, 2025 - April 26, 2025"
"34","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","39.935446378654675","-120.91762346654949","April 20, 2025 - April 26, 2025"
"35","ID:95","California","Butte","No Samples in Last Week","2024-11-21","44000","39.52626426187867","-121.56708897551168","April 20, 2025 - April 26, 2025"
"36","ID:287","Delaware","Sussex","No Samples in Last Week","2024-12-11","4392","38.54999787549512","-75.56858052420938","April 20, 2025 - April 26, 2025"
"37","ID:288","Delaware","Sussex","No Samples in Last Week","2024-12-29","4050","38.73986877967521","-75.18155101666022","April 20, 2025 - April 26, 2025"
"38","ID:289","Delaware","Sussex","No Samples in Last Week","2024-12-22","75000","38.71089574652494","-75.09392974122251","April 20, 2025 - April 26, 2025"
"39","ID:1691","Ohio","Wood","No Samples in Last Week","2025-02-23","32000","41.38609676958114","-83.65760989957523","April 20, 2025 - April 26, 2025"
"40","ID:900","Michigan","Manistee","No Samples in Last Week","2024-12-16","8154","44.249608","-86.343793","April 20, 2025 - April 26, 2025"
"41","ID:1469","North Carolina","Forsyth, Guilford, Randolph, Davidson","No Samples in Last Week","2024-05-21","116390","36.00226132433128","-79.92963798323646","April 20, 2025 - April 26, 2025"
"42","ID:1819","South Carolina","Greenwood","No Samples in Last Week","2024-09-11","12000","34.166187908993244","-82.1217796039301","April 20, 2025 - April 26, 2025"
"43","ID:903","Michigan","Manistee","No Samples in Last Week","2025-01-06","8154","44.112257127668165","-86.37605333166064","April 20, 2025 - April 26, 2025"
"44","ID:21","Arizona","Maricopa","No Samples in Last Week","2024-11-05","64521","33.48225674678659","-111.74357158237265","April 20, 2025 - April 26, 2025"
"45","ID:29","Arizona","Maricopa","No Samples in Last Week","2024-11-07","130000","33.643100139647395","-112.39017249783718","April 20, 2025 - April 26, 2025"
"46","ID:624","Louisiana","Lafayette","No Samples in Last Week","2024-09-06","23000","30.109098956894318","-91.92881007935632","April 20, 2025 - April 26, 2025"
"47","ID:96","California","Butte","No Samples in Last Week","2024-11-25","101299","39.72802341795413","-121.81588766284534","April 20, 2025 - April 26, 2025"
"48","ID:1549","Ohio","Franklin","No Samples in Last Week","2025-03-29","645940","39.93694201522634","-83.04239273225456","April 20, 2025 - April 26, 2025"
"49","ID:23","Arizona","Maricopa","No Samples in Last Week","2024-11-12","17280","33.47739524432734","-111.96423769954548","April 20, 2025 - April 26, 2025"
"50","ID:1461","North Carolina","Durham","No Samples in Last Week","2024-12-17","142000","36.04199225554277","-78.87392143998554","April 20, 2025 - April 26, 2025"
"51","ID:901","Michigan","Manistee","No Samples in Last Week","2025-01-06","8154","44.24337030680387","-86.165871876371","April 20, 2025 - April 26, 2025"
"52","ID:1468","North Carolina","Guilford","No Samples in Last Week","2024-04-02","135821","36.09093384389982","-79.66434674575062","April 20, 2025 - April 26, 2025"
"53","ID:679","Louisiana","Saint Tammany","No Samples in Last Week","2024-09-10","15000","30.485945224486557","-90.12629970717796","April 20, 2025 - April 26, 2025"
"54","ID:1484","North Carolina","New Hanover","No Samples in Last Week","2024-05-21","67743","34.278146871497285","-77.96724096427778","April 20, 2025 - April 26, 2025"
"55","ID:281","Delaware","New Castle","No Samples in Last Week","2024-12-15","17145","39.47034768973038","-75.70032945985572","April 20, 2025 - April 26, 2025"
"56","ID:617","Louisiana","Jefferson","No Samples in Last Week","2024-09-10","64000","30.03585075587373","-90.33434943776882","April 20, 2025 - April 26, 2025"
"57","ID:1195","New Hampshire","Rockingham","No Samples in Last Week","2025-02-17","40000","43.077388","-70.741897","April 20, 2025 - April 26, 2025"
"58","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.78497150900756","-124.19009920923668","April 20, 2025 - April 26, 2025"
"59","ID:151","California","San Francisco","No Samples in Last Week","2024-11-26","6308","37.69896941961748","-122.50004397999565","April 20, 2025 - April 26, 2025"
"60","ID:1492","North Carolina","Scotland","No Samples in Last Week","2024-12-11","15527","34.732933789396945","-79.30579186774848","April 20, 2025 - April 26, 2025"
"61","ID:1590","Ohio","Hardin","No Samples in Last Week","2025-03-19","8500","40.64528461830181","-83.59924610843369","April 20, 2025 - April 26, 2025"
"62","ID:32","Arizona","Mohave","No Samples in Last Week","2024-11-25","37500","34.53523354952391","-114.35315986949688","April 20, 2025 - April 26, 2025"
"63","ID:2243","Oregon","Tillamook","No Samples in Last Week","2022-11-23","27748","45.45176397364762","-123.84351173270046","April 20, 2025 - April 26, 2025"
"64","ID:153","California","San Francisco","No Samples in Last Week","2024-11-26","3882","37.649789095173695","-122.15554614930682","April 20, 2025 - April 26, 2025"
"65","ID:1688","Ohio","Wayne","No Samples in Last Week","2025-02-23","27000","40.80877549496986","-81.9427772332471","April 20, 2025 - April 26, 2025"
"66","ID:284","Delaware","Sussex","No Samples in Last Week","2024-12-16","7000","38.680636614600076","-75.38699557968224","April 20, 2025 - April 26, 2025"
"67","ID:1184","New Hampshire","Cheshire","No Samples in Last Week","2025-02-17","30000","42.87258496990235","-72.28127215907254","April 20, 2025 - April 26, 2025"
"68","ID:1501","North Carolina","Wake","No Samples in Last Week","2024-05-21","550000","35.757884314185006","-78.57516805185449","April 20, 2025 - April 26, 2025"
"69","ID:1748","Oregon","Umatilla","No Samples in Last Week","2021-12-27","17500","45.66533621739651","-118.78101874161308","April 20, 2025 - April 26, 2025"
"70","ID:108","California","Kings","No Samples in Last Week","2025-03-27","56000","36.28534232231088","-119.5121386351576","April 20, 2025 - April 26, 2025"
"71","ID:1542","Ohio","Cuyahoga","No Samples in Last Week","2025-03-25","103379","41.47719205227325","-81.74409314262073","April 20, 2025 - April 26, 2025"
"72","ID:103","California","Humboldt","No Samples in Last Week","2024-11-17","45000","40.7421465907595","-124.21081916401151","April 20, 2025 - April 26, 2025"
"73","ID:2297","Arizona","Coconino","No Samples in Last Week","2024-11-03","46000","35.21402209215623","-111.66426248093451","April 20, 2025 - April 26, 2025"
"74","ID:33","Arizona","Pima","No Samples in Last Week","2024-11-05","347900","32.28895758609493","-111.02013524552177","April 20, 2025 - April 26, 2025"
"75","ID:15","Alaska","Juneau","No Samples in Last Week","2024-09-05","12000","58.445358623912796","-134.42453845504028","April 20, 2025 - April 26, 2025"
"76","ID:1457","North Carolina","Wake","No Samples in Last Week","2024-11-07","75886","35.665589128125646","-78.96324660190112","April 20, 2025 - April 26, 2025"
"77","ID:129","California","Napa","No Samples in Last Week","2024-11-20","20256","38.18110956474862","-122.2539512981863","April 20, 2025 - April 26, 2025"
"78","ID:2228","Rhode Island","Newport","No Samples in Last Week","2024-12-02","41600","41.47900793274585","-71.30069369841404","April 20, 2025 - April 26, 2025"
"79","ID:2280","Texas","Nueces","No Samples in Last Week","2024-08-06","158298","27.70722516111819","-97.3475688330962","April 20, 2025 - April 26, 2025"
"80","ID:1471","North Carolina","Henderson","No Samples in Last Week","2025-02-06","43633","35.35701078051698","-82.46646847059834","April 20, 2025 - April 26, 2025"
"81","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-17","50000","39.32818655440214","-120.18752424790287","April 20, 2025 - April 26, 2025"
"82","ID:150","California","San Francisco","No Samples in Last Week","2024-11-26","11738","37.83046","-122.377679","April 20, 2025 - April 26, 2025"
"83","ID:1478","North Carolina","Mecklenburg","No Samples in Last Week","2024-04-08","182501","35.13235418234516","-80.85778082962943","April 20, 2025 - April 26, 2025"
"84","ID:1481","North Carolina","Mecklenburg","No Samples in Last Week","2024-11-07","82158","35.238132480299754","-80.9005271564134","April 20, 2025 - April 26, 2025"
"85","ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","33.71114556596636","-117.95081985732627","April 20, 2025 - April 26, 2025"
"86","ID:631","Louisiana","Lafayette","No Samples in Last Week","2024-09-06","5000","30.227488236326394","-91.95057569747297","April 20, 2025 - April 26, 2025"
"87","ID:1499","North Carolina","Wake","No Samples in Last Week","2024-07-16","84189","35.79478491281256","-78.80116133011013","April 20, 2025 - April 26, 2025"
"88","ID:2380","California","Shasta","No Samples in Last Week","2024-05-23","29000","40.424354688080825","-122.34041209489058","April 20, 2025 - April 26, 2025"
"89","ID:1500","North Carolina","Wake","No Samples in Last Week","2024-11-07","74331","35.682831316275816","-78.78928982159384","April 20, 2025 - April 26, 2025"
"90","ID:18","Arizona","Maricopa","No Samples in Last Week","2024-11-05","50000","33.47326394232421","-112.17641205058517","April 20, 2025 - April 26, 2025"
"91","ID:1486","North Carolina","Durham, Orange","No Samples in Last Week","2024-03-19","78141","35.93976490110633","-79.03713188200462","April 20, 2025 - April 26, 2025"
"92","ID:1852","Texas","Dallas","No Detection","2024-09-17","22191","32.6735019995405","-97.02731304735251","April 20, 2025 - April 26, 2025"
"93","ID:2156","Wisconsin","Rock","No Detection","2024-09-06","63500","42.68372979514974","-89.06909261951458","April 20, 2025 - April 26, 2025"
"94","ID:1202","New Jersey","Bergen","No Detection","2025-01-29","564563","40.80235518420544","-74.04699734109336","April 20, 2025 - April 26, 2025"
"95","ID:2298","Texas","Victoria","No Detection","2024-08-06","65800","28.78094951765858","-97.05072621897062","April 20, 2025 - April 26, 2025"
"96","ID:179","California","Santa Cruz","No Detection","2024-05-16","160000","36.9573575955244","-121.88909825086357","April 20, 2025 - April 26, 2025"
"97","ID:2281","Texas","Taylor","No Detection","2024-08-06","125000","32.48887151135923","-99.71748105432893","April 20, 2025 - April 26, 2025"
"98","ID:510","Indiana","Hamilton","No Detection","2024-05-17","86000","39.892966637994924","-86.17797051852887","April 20, 2025 - April 26, 2025"
"99","ID:339","Georgia","Fulton","No Detection","2024-06-02","294660","33.783247073181116","-84.43371976758208","April 20, 2025 - April 26, 2025"
"100","ID:141","California","San Benito","No Detection","2024-10-14","43000","36.89949792292941","-121.3772211348991","April 20, 2025 - April 26, 2025"
"101","ID:14","Alaska","Anchorage","No Detection","2024-09-09","23000","61.24883388324649","-149.47473787003327","April 20, 2025 - April 26, 2025"
"102","ID:1504","North Carolina","Watauga","No Detection","2024-09-10","26000","36.188139243458195","-81.70886143954183","April 20, 2025 - April 26, 2025"
"103","ID:2124","Wisconsin","Chippewa, Eau Claire","No Detection","2024-09-05","77714","44.823690777632294","-91.51454039439889","April 20, 2025 - April 26, 2025"
"104","ID:438","Illinois","Du Page","No Detection","2024-05-20","86000","41.88240373967926","-88.0937208702073","April 20, 2025 - April 26, 2025"
"105","ID:1197","New Hampshire","Strafford","No Detection","2025-02-17","14638","43.14023369914261","-70.92610718961697","April 20, 2025 - April 26, 2025"
"106","ID:2471","Texas","Lubbock","No Detection","2025-04-22","250000","33.54175238443155","-101.82252075223988","April 20, 2025 - April 26, 2025"
"107","ID:1490","North Carolina","Rowan","No Detection","2024-09-10","32000","35.69256349062329","-80.5898480014026","April 20, 2025 - April 26, 2025"
"108","ID:115","California","Ventura, Los Angeles","No Detection","2024-09-10","75000","34.18525405278745","-118.66252174892335","April 20, 2025 - April 26, 2025"
"109","ID:1198","New Hampshire","Sullivan","No Detection","2024-09-08","6500","43.33043910084006","-72.17497474945756","April 20, 2025 - April 26, 2025"
"110","ID:5","Alabama","Jefferson","No Detection","2024-05-17","77000","33.60775484874904","-86.81277351143846","April 20, 2025 - April 26, 2025"
"111","ID:529","Indiana","St Joseph","No Detection","2024-05-16","130000","41.64679229828861","-86.32165953645121","April 20, 2025 - April 26, 2025"
"112","ID:543","Iowa","Dakota, Woodbury, Union","No Detection","2024-09-10","110000","42.51458460882386","-96.33921763687829","April 20, 2025 - April 26, 2025"
"113","ID:700","Maine","Cumberland","No Detection","2024-05-20","65000","43.665194474727016","-70.32846621863438","April 20, 2025 - April 26, 2025"
