"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:15","Alaska","Juneau","No Samples in Last Week","2024-11-13","12000","58.29141643090075","-134.61581227133595","December 08 - December 14, 2024"
"2","ID:95","California","Butte","No Samples in Last Week","2024-11-21","44000","39.57941504209436","-121.71230983789016","December 08 - December 14, 2024"
"3","ID:96","California","Butte","No Samples in Last Week","2024-11-25","101299","39.757155855597055","-121.79301718601226","December 08 - December 14, 2024"
"4","ID:98","California","Contra Costa","No Samples in Last Week","2024-11-21","218281","37.86766035133079","-121.77508654210207","December 08 - December 14, 2024"
"5","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.84784607980886","-124.27162217914781","December 08 - December 14, 2024"
"6","ID:103","California","Humboldt","No Samples in Last Week","2024-11-17","45000","40.688950243024955","-124.27377392518915","December 08 - December 14, 2024"
"7","ID:106","California","Kern","No Samples in Last Week","2024-11-19","168750","35.27618515053874","-119.03551149529945","December 08 - December 14, 2024"
"8","ID:111","California","Lake","No Samples in Last Week","2024-11-18","13200","39.01477496530058","-122.6546691533603","December 08 - December 14, 2024"
"9","ID:129","California","Napa","No Samples in Last Week","2024-11-20","20256","38.30468596214645","-122.27925776742228","December 08 - December 14, 2024"
"10","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-17","50000","39.40649252411269","-120.05692439859568","December 08 - December 14, 2024"
"11","ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","33.72050792663296","-117.84298361776189","December 08 - December 14, 2024"
"12","ID:136","California","Placer","No Samples in Last Week","2024-11-20","108444","38.85766275983453","-121.46965029510054","December 08 - December 14, 2024"
"13","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","39.95772584897969","-120.94424537865717","December 08 - December 14, 2024"
"14","ID:144","California","San Bernardino","No Samples in Last Week","2024-11-20","325000","34.154343421073364","-117.2527754985925","December 08 - December 14, 2024"
"15","ID:150","California","San Francisco","No Samples in Last Week","2024-11-26","11738","37.777580610536404","-122.50088749803687","December 08 - December 14, 2024"
"16","ID:151","California","San Francisco","No Samples in Last Week","2024-11-26","6308","37.73313261764347","-122.33853323981342","December 08 - December 14, 2024"
"17","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","37.85753020043716","-122.3084801551572","December 08 - December 14, 2024"
