"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:15","Alaska","Juneau","No Samples in Last Week","2024-11-26","12000","58.35851934099089","-134.548705275396","December 29, 2024 - January 04, 2025"
"2","ID:16","Alaska","Juneau","No Samples in Last Week","2024-12-05","22000","58.49625757798975","-134.3711408665265","December 29, 2024 - January 04, 2025"
"3","ID:71","Arkansas","Greene","No Samples in Last Week","2024-12-04","25000","35.96212676559269","-90.39694482952153","December 29, 2024 - January 04, 2025"
"4","ID:95","California","Butte","No Samples in Last Week","2024-11-27","44000","39.54412682337707","-121.43101466020525","December 29, 2024 - January 04, 2025"
"5","ID:96","California","Butte","No Samples in Last Week","2024-11-25","101299","39.84961788204542","-121.92927968526553","December 29, 2024 - January 04, 2025"
"6","ID:98","California","Contra Costa","No Samples in Last Week","2024-11-24","218281","38.03922854591038","-121.67956361534276","December 29, 2024 - January 04, 2025"
"7","ID:100","California","Del Norte","No Samples in Last Week","2024-11-24","15372","41.73426973970585","-124.31645394154978","December 29, 2024 - January 04, 2025"
"8","ID:103","California","Humboldt","No Samples in Last Week","2024-11-24","45000","40.77339420120542","-124.17751566234867","December 29, 2024 - January 04, 2025"
"9","ID:106","California","Kern","No Samples in Last Week","2024-11-26","168750","35.39396982522914","-118.83553879571035","December 29, 2024 - January 04, 2025"
"10","ID:111","California","Lake","No Samples in Last Week","2024-11-24","13200","38.96329461039875","-122.61921868513191","December 29, 2024 - January 04, 2025"
"11","ID:129","California","Napa","No Samples in Last Week","2024-11-24","20256","38.04719408046425","-122.13622607818913","December 29, 2024 - January 04, 2025"
"12","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-24","50000","39.448076324060295","-120.19239783182336","December 29, 2024 - January 04, 2025"
"13","ID:135","California","Orange","No Samples in Last Week","2024-11-24","1800000","33.60757689145977","-117.81527442237947","December 29, 2024 - January 04, 2025"
"14","ID:136","California","Placer","No Samples in Last Week","2024-11-24","108444","38.732827807210775","-121.46129260474618","December 29, 2024 - January 04, 2025"
"15","ID:137","California","Plumas","No Samples in Last Week","2024-11-25","4217","40.019381926624995","-120.85488382680698","December 29, 2024 - January 04, 2025"
"16","ID:144","California","San Bernardino","No Samples in Last Week","2024-11-24","325000","34.097973262701025","-117.1614134920598","December 29, 2024 - January 04, 2025"
