"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2281","Texas","Taylor","No Samples in Last Week","2024-08-06","125000","32.37395936964645","-99.82287484856097","February 16 - February 22, 2025"
"2","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.96155681205911","-79.02566511460877","February 16 - February 22, 2025"
"3","ID:17","Arizona","La Paz","No Samples in Last Week","2024-12-02","3500","33.779353452538764","-114.23766292918708","February 16 - February 22, 2025"
"4","ID:25","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9848","33.3034460669987","-111.82348754877565","February 16 - February 22, 2025"
"5","ID:28","Arizona","Maricopa","No Samples in Last Week","2024-11-05","6500","33.266937234836966","-111.96427376101022","February 16 - February 22, 2025"
"6","ID:2410","Texas","Hidalgo","No Samples in Last Week","2024-12-03","16782","26.25766549185767","-97.93984344873363","February 16 - February 22, 2025"
"7","ID:1485","North Carolina","Onslow","No Samples in Last Week","2025-01-07","41819","34.873368005996994","-77.68518025406671","February 16 - February 22, 2025"
"8","ID:154","California","San Francisco","No Samples in Last Week","2024-11-26","4416","37.63627332914088","-122.53267899852085","February 16 - February 22, 2025"
"9","ID:172","California","Santa Barbara","No Samples in Last Week","2024-11-21","77600","34.57608247152246","-119.65944899298965","February 16 - February 22, 2025"
"10","ID:27","Arizona","Maricopa","No Samples in Last Week","2024-11-12","23746","33.555073195053644","-112.0033345657023","February 16 - February 22, 2025"
"11","ID:1489","North Carolina","Pitt","No Samples in Last Week","2024-04-30","89616","35.57182101716685","-77.25854197149765","February 16 - February 22, 2025"
"12","ID:714","Maine","Piscataquis","No Samples in Last Week","2024-09-10","1000","45.223440199826165","-69.38066579572046","February 16 - February 22, 2025"
"13","ID:1479","North Carolina","Mecklenburg","No Samples in Last Week","2024-11-25","120000","35.30008656702273","-80.84561306179982","February 16 - February 22, 2025"
"14","ID:1483","North Carolina","New Hanover","No Samples in Last Week","2024-12-03","58361","34.35560999356508","-78.07341910640335","February 16 - February 22, 2025"
"15","ID:111","California","Lake","No Samples in Last Week","2024-11-18","13200","38.86703802936216","-122.66758037599004","February 16 - February 22, 2025"
"16","ID:16","Alaska","Juneau","No Samples in Last Week","2024-09-05","22000","58.31858720382959","-134.62189023903233","February 16 - February 22, 2025"
"17","ID:26","Arizona","Maricopa","No Samples in Last Week","2024-11-05","12542","33.56464480442838","-111.95985725416496","February 16 - February 22, 2025"
"18","ID:68","Arkansas","Benton","No Samples in Last Week","2024-09-11","19000","36.29735380289537","-94.65507447227539","February 16 - February 22, 2025"
"19","ID:724","Maine","York","No Samples in Last Week","2024-09-09","16000","43.59862628996048","-70.58806521519233","February 16 - February 22, 2025"
"20","ID:657","Louisiana","Ouachita","No Samples in Last Week","2025-01-06","76000","32.432535486357516","-92.19686652705263","February 16 - February 22, 2025"
"21","ID:1450","North Carolina","Buncombe, Henderson","No Samples in Last Week","2024-03-26","173000","35.73564162079794","-82.5286493872937","February 16 - February 22, 2025"
"22","ID:2186","Guam","Guam","No Samples in Last Week","2025-01-19","70486","13.3495667092764","144.8151314542451","February 16 - February 22, 2025"
"23","ID:2296","Arizona","Coconino","No Samples in Last Week","2024-11-13","80000","35.11354678983741","-111.48513251829444","February 16 - February 22, 2025"
"24","ID:667","Louisiana","Red River","No Samples in Last Week","2025-01-06","3838","31.964846062282984","-93.28031506609022","February 16 - February 22, 2025"
"25","ID:2408","Arizona","La Paz","No Samples in Last Week","2024-11-04","3400","34.12054526071367","-114.40068456641764","February 16 - February 22, 2025"
"26","ID:20","Arizona","Maricopa","No Samples in Last Week","2024-11-07","88521","33.30777386565389","-111.77572843685267","February 16 - February 22, 2025"
"27","ID:690","Louisiana","Washington","No Samples in Last Week","2025-01-06","13675","30.784888900600805","-89.73354215605647","February 16 - February 22, 2025"
"28","ID:2295","Louisiana","Saint Bernard","No Samples in Last Week","2025-01-06","45000","30.04564579427261","-89.8025115683404","February 16 - February 22, 2025"
"29","ID:1859","Texas","Kaufman, Collin, Dallas","No Samples in Last Week","2024-09-11","370000","32.809967576314655","-96.70172692499679","February 16 - February 22, 2025"
"30","ID:732","Maryland","Anne Arundel","No Samples in Last Week","2024-09-05","13296","38.96288529486995","-76.54204705735523","February 16 - February 22, 2025"
"31","ID:182","California","Shasta","No Samples in Last Week","2024-11-21","60000","40.5227608229126","-122.18182142968368","February 16 - February 22, 2025"
"32","ID:30","Arizona","Maricopa","No Samples in Last Week","2024-11-12","19260","33.560729151580674","-112.42791791661591","February 16 - February 22, 2025"
"33","ID:35","Arizona","Pima","No Samples in Last Week","2024-11-05","397407","32.22377944221345","-111.19632666626994","February 16 - February 22, 2025"
"34","ID:2275","Texas","Hardin","No Samples in Last Week","2024-07-30","34000","30.290473185824748","-94.1432929684033","February 16 - February 22, 2025"
"35","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","39.866441739647136","-120.99316162824596","February 16 - February 22, 2025"
"36","ID:95","California","Butte","No Samples in Last Week","2024-11-21","44000","39.417736825415936","-121.53569863558154","February 16 - February 22, 2025"
"37","ID:1223","New Jersey","Sussex","No Samples in Last Week","2025-01-29","7751","41.2031253277363","-74.68282905709384","February 16 - February 22, 2025"
"38","ID:19","Arizona","Maricopa","No Samples in Last Week","2024-11-05","2400000","33.393962772333566","-112.24207148824459","February 16 - February 22, 2025"
"39","ID:687","Louisiana","Terrebonne","No Samples in Last Week","2025-01-06","30000","29.56540200126219","-90.59357890888299","February 16 - February 22, 2025"
"40","ID:1475","North Carolina","Mcdowell","No Samples in Last Week","2024-12-09","8459","35.63389923840619","-81.90198711514905","February 16 - February 22, 2025"
"41","ID:21","Arizona","Maricopa","No Samples in Last Week","2024-11-05","64521","33.561817080259274","-111.82327060300095","February 16 - February 22, 2025"
"42","ID:29","Arizona","Maricopa","No Samples in Last Week","2024-11-07","130000","33.778272373414275","-112.24709436055778","February 16 - February 22, 2025"
"43","ID:686","Louisiana","Terrebonne","No Samples in Last Week","2025-01-06","50000","29.692730860085934","-90.76276164340211","February 16 - February 22, 2025"
"44","ID:98","California","Contra Costa","No Samples in Last Week","2024-11-21","218281","38.111104726742965","-121.90654167303207","February 16 - February 22, 2025"
"45","ID:96","California","Butte","No Samples in Last Week","2024-11-25","101299","39.82539632146908","-121.73030983814014","February 16 - February 22, 2025"
"46","ID:23","Arizona","Maricopa","No Samples in Last Week","2024-11-12","17280","33.48817799151109","-111.98666435256492","February 16 - February 22, 2025"
"47","ID:1468","North Carolina","Guilford","No Samples in Last Week","2024-04-02","135821","36.0014300441796","-79.71827094057423","February 16 - February 22, 2025"
"48","ID:34","Arizona","Pima","No Samples in Last Week","2024-11-25","23000","31.933057010597164","-111.07131860585763","February 16 - February 22, 2025"
"49","ID:1484","North Carolina","New Hanover","No Samples in Last Week","2024-05-21","67743","34.23644013196331","-77.81289214100136","February 16 - February 22, 2025"
"50","ID:1472","North Carolina","Jackson","No Samples in Last Week","2025-01-20","13296","35.27685175052755","-83.14609788201423","February 16 - February 22, 2025"
"51","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.85929860816572","-124.26013073718615","February 16 - February 22, 2025"
"52","ID:151","California","San Francisco","No Samples in Last Week","2024-11-26","6308","37.71945225282627","-122.49146790290656","February 16 - February 22, 2025"
"53","ID:1492","North Carolina","Scotland","No Samples in Last Week","2024-12-11","15527","34.684249047691495","-79.43380283512151","February 16 - February 22, 2025"
"54","ID:32","Arizona","Mohave","No Samples in Last Week","2024-11-25","37500","34.36294384881164","-114.39212711490865","February 16 - February 22, 2025"
"55","ID:153","California","San Francisco","No Samples in Last Week","2024-11-26","3882","37.680387010380905","-122.54473955294571","February 16 - February 22, 2025"
"56","ID:24","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9430","33.28132096026977","-111.87127459373328","February 16 - February 22, 2025"
"57","ID:1501","North Carolina","Wake","No Samples in Last Week","2024-05-21","550000","35.90527104896316","-78.43285484781995","February 16 - February 22, 2025"
"58","ID:22","Arizona","Maricopa","No Samples in Last Week","2024-11-12","53578","33.316991880286444","-111.89980494787523","February 16 - February 22, 2025"
"59","ID:1453","North Carolina","Carteret","No Samples in Last Week","2024-12-13","3500","34.81403976147898","-76.63219683798229","February 16 - February 22, 2025"
"60","ID:103","California","Humboldt","No Samples in Last Week","2024-11-17","45000","40.82345235523208","-124.084209616681","February 16 - February 22, 2025"
"61","ID:2339","Rhode Island","Worcester, Providence, Norfolk","No Samples in Last Week","2024-09-09","43000","42.09428228673363","-71.56499612426101","February 16 - February 22, 2025"
"62","ID:2297","Arizona","Coconino","No Samples in Last Week","2024-11-03","46000","35.25753278827547","-111.79162248796797","February 16 - February 22, 2025"
"63","ID:1081","Missouri","Jefferson","No Samples in Last Week","2024-09-10","48000","38.450758823984714","-90.36270429439263","February 16 - February 22, 2025"
"64","ID:33","Arizona","Pima","No Samples in Last Week","2024-11-05","347900","32.18960256641177","-111.12665786040742","February 16 - February 22, 2025"
"65","ID:2218","Louisiana","La Salle","No Samples in Last Week","2025-01-06","4146","31.7744634653126","-92.13052950836472","February 16 - February 22, 2025"
"66","ID:102","California","Fresno","No Samples in Last Week","2024-12-22","650000","36.828266873333106","-119.94137838506981","February 16 - February 22, 2025"
"67","ID:1471","North Carolina","Henderson","No Samples in Last Week","2025-02-06","43633","35.437139416816926","-82.2829982253496","February 16 - February 22, 2025"
"68","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-17","50000","39.276038196627816","-120.15412093193316","February 16 - February 22, 2025"
"69","ID:1478","North Carolina","Mecklenburg","No Samples in Last Week","2024-04-08","182501","35.11187199788229","-80.97448983494058","February 16 - February 22, 2025"
"70","ID:1459","North Carolina","Cumberland","No Samples in Last Week","2024-12-10","151589","34.898755542360114","-78.92263909873661","February 16 - February 22, 2025"
"71","ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","33.60616878947081","-117.82705485543119","February 16 - February 22, 2025"
"72","ID:18","Arizona","Maricopa","No Samples in Last Week","2024-11-05","50000","33.560273598453364","-112.22349242795292","February 16 - February 22, 2025"
"73","ID:2277","Texas","Hidalgo","No Samples in Last Week","2024-08-06","70000","26.406161645183037","-98.17818666621679","February 16 - February 22, 2025"
"74","ID:2227","Louisiana","Vernon","No Samples in Last Week","2025-01-05","18000","31.22762964845337","-93.27151042570813","February 16 - February 22, 2025"
"75","ID:1486","North Carolina","Durham, Orange","No Samples in Last Week","2024-03-19","78141","36.0552257629519","-79.16840360841444","February 16 - February 22, 2025"
"76","ID:1852","Texas","Dallas","No Detection","2024-09-17","22191","32.79940601391233","-96.89104384610255","February 16 - February 22, 2025"
"77","ID:2156","Wisconsin","Rock","No Detection","2024-09-06","63500","42.62207209419785","-89.09988692672034","February 16 - February 22, 2025"
"78","ID:2348","California","Placer","No Detection","2024-05-22","130000","38.8519245001015","-121.43689825776117","February 16 - February 22, 2025"
"79","ID:1202","New Jersey","Bergen","No Detection","2025-01-29","564563","40.82784926902078","-73.90901442464708","February 16 - February 22, 2025"
"80","ID:2298","Texas","Victoria","No Detection","2024-08-06","65800","28.731670133121458","-96.95748347098306","February 16 - February 22, 2025"
"81","ID:179","California","Santa Cruz","No Detection","2024-05-16","160000","37.05705478612041","-122.05187738947929","February 16 - February 22, 2025"
"82","ID:2249","Louisiana","Lincoln","No Detection","2025-01-07","22500","32.52439406380464","-92.692021211561","February 16 - February 22, 2025"
"83","ID:510","Indiana","Hamilton","No Detection","2024-05-17","86000","39.86847842998192","-86.0107052468818","February 16 - February 22, 2025"
"84","ID:339","Georgia","Fulton","No Detection","2024-06-02","294660","33.782517817961796","-84.35948807831468","February 16 - February 22, 2025"
"85","ID:141","California","San Benito","No Detection","2024-10-14","43000","36.7550042188264","-121.39752945950727","February 16 - February 22, 2025"
"86","ID:14","Alaska","Anchorage","No Detection","2024-09-09","23000","61.39105949735749","-149.61111069637704","February 16 - February 22, 2025"
"87","ID:1504","North Carolina","Watauga","No Detection","2024-09-10","26000","36.112977717867736","-81.6865956474227","February 16 - February 22, 2025"
"88","ID:2124","Wisconsin","Chippewa, Eau Claire","No Detection","2024-09-05","77714","44.689627107198284","-91.36496794240027","February 16 - February 22, 2025"
"89","ID:438","Illinois","Du Page","No Detection","2024-05-20","86000","41.9752491618337","-88.08023100274988","February 16 - February 22, 2025"
"90","ID:1197","New Hampshire","Strafford","No Detection","2025-02-17","14638","43.098007217093354","-70.79611835898582","February 16 - February 22, 2025"
"91","ID:1490","North Carolina","Rowan","No Detection","2024-09-10","32000","35.80090433853859","-80.49386452127906","February 16 - February 22, 2025"
"92","ID:115","California","Ventura, Los Angeles","No Detection","2024-09-10","75000","34.23723353506564","-118.57517730316874","February 16 - February 22, 2025"
