"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2296","Arizona","Coconino","No Samples in Last Week","2024-11-13","80000","35.114731790382784","-111.55391347359323","February 23 - March 01, 2025"
"2","ID:2297","Arizona","Coconino","No Samples in Last Week","2024-11-03","46000","35.150681661333486","-111.64818758079946","February 23 - March 01, 2025"
"3","ID:17","Arizona","La Paz","No Samples in Last Week","2024-12-02","3500","33.74687993635846","-114.2466376613758","February 23 - March 01, 2025"
"4","ID:19","Arizona","Maricopa","No Samples in Last Week","2024-11-05","2400000","33.551890590044444","-112.43824070022713","February 23 - March 01, 2025"
"5","ID:29","Arizona","Maricopa","No Samples in Last Week","2024-11-07","130000","33.70210291701857","-112.32554345027185","February 23 - March 01, 2025"
"6","ID:30","Arizona","Maricopa","No Samples in Last Week","2024-11-12","19260","33.70404983197652","-112.40174812186375","February 23 - March 01, 2025"
"7","ID:33","Arizona","Pima","No Samples in Last Week","2024-11-05","347900","32.2855281345881","-111.01842889034774","February 23 - March 01, 2025"
"8","ID:35","Arizona","Pima","No Samples in Last Week","2024-11-05","397407","32.4798660307485","-111.02135120426868","February 23 - March 01, 2025"
"9","ID:95","California","Butte","No Samples in Last Week","2024-11-21","44000","39.54833338144019","-121.53458353376534","February 23 - March 01, 2025"
"10","ID:96","California","Butte","No Samples in Last Week","2024-11-25","101299","39.602993115581455","-121.88338715623527","February 23 - March 01, 2025"
"11","ID:98","California","Contra Costa","No Samples in Last Week","2024-11-21","218281","37.92958011201011","-121.90763507736045","February 23 - March 01, 2025"
"12","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.83174193927091","-124.20853625631975","February 23 - March 01, 2025"
"13","ID:101","California","El Dorado","No Samples in Last Week","2024-09-08","30000","38.95900335827808","-119.87009574804354","February 23 - March 01, 2025"
"14","ID:102","California","Fresno","No Samples in Last Week","2024-12-22","650000","36.70814306887974","-119.8028044344471","February 23 - March 01, 2025"
"15","ID:103","California","Humboldt","No Samples in Last Week","2024-11-17","45000","40.62882399387371","-124.16548542055578","February 23 - March 01, 2025"
"16","ID:111","California","Lake","No Samples in Last Week","2024-11-18","13200","39.10244920014324","-122.60627774308706","February 23 - March 01, 2025"
"17","ID:129","California","Napa","No Samples in Last Week","2024-11-20","20256","38.10841508117222","-122.14454634028696","February 23 - March 01, 2025"
"18","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-17","50000","39.393824880878725","-120.27826773833236","February 23 - March 01, 2025"
"19","ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","33.61607532333963","-117.91125244488562","February 23 - March 01, 2025"
"20","ID:136","California","Placer","No Samples in Last Week","2024-11-20","108444","38.897882071719266","-121.31991090888869","February 23 - March 01, 2025"
"21","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","40.01187486790315","-120.94900164375544","February 23 - March 01, 2025"
"22","ID:144","California","San Bernardino","No Samples in Last Week","2024-11-20","325000","34.1219280826094","-117.27759404107698","February 23 - March 01, 2025"
"23","ID:149","California","San Francisco","No Samples in Last Week","2024-12-10","9923","37.883135310409116","-122.38283829830993","February 23 - March 01, 2025"
"24","ID:150","California","San Francisco","No Samples in Last Week","2024-11-26","11738","37.852940870704245","-122.31298107252763","February 23 - March 01, 2025"
"25","ID:151","California","San Francisco","No Samples in Last Week","2024-11-26","6308","37.76002403201937","-122.51529325666586","February 23 - March 01, 2025"
"26","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","37.61211375467576","-122.28736701430428","February 23 - March 01, 2025"
"27","ID:153","California","San Francisco","No Samples in Last Week","2024-11-26","3882","37.83422426952496","-122.38556155950747","February 23 - March 01, 2025"
"28","ID:154","California","San Francisco","No Samples in Last Week","2024-11-26","4416","37.625664254056424","-122.2806593852002","February 23 - March 01, 2025"
"29","ID:165","California","San Luis Obispo","No Samples in Last Week","2024-11-20","47545","35.34909067957402","-120.72992288097747","February 23 - March 01, 2025"
"30","ID:172","California","Santa Barbara","No Samples in Last Week","2024-11-21","77600","34.32260671221189","-119.80756122717723","February 23 - March 01, 2025"
"31","ID:181","California","Santa Cruz","No Samples in Last Week","2024-09-10","12000","37.15721410896033","-121.95184268412005","February 23 - March 01, 2025"
"32","ID:182","California","Shasta","No Samples in Last Week","2024-11-21","60000","40.37491221270553","-122.4023635666765","February 23 - March 01, 2025"
"33","ID:189","California","Sutter","No Samples in Last Week","2024-11-20","70000","39.233619520645945","-121.64458589561141","February 23 - March 01, 2025"
"34","ID:589","Louisiana","Acadia","No Samples in Last Week","2025-01-05","14557","30.354641000506923","-92.2855543131875","February 23 - March 01, 2025"
"35","ID:597","Louisiana","Caddo","No Samples in Last Week","2025-01-05","5300","32.46943413459336","-94.02421860485327","February 23 - March 01, 2025"
"36","ID:598","Louisiana","Calcasieu","No Samples in Last Week","2025-01-05","36720","30.12301535167034","-93.28928780836715","February 23 - March 01, 2025"
"37","ID:612","Louisiana","Iberia","No Samples in Last Week","2025-01-05","36123","30.11869696796512","-91.83411936695116","February 23 - March 01, 2025"
"38","ID:616","Louisiana","Jefferson","No Samples in Last Week","2025-01-05","50652","30.05854815198137","-90.0647532752849","February 23 - March 01, 2025"
"39","ID:617","Louisiana","Jefferson","No Samples in Last Week","2024-09-10","64000","29.934073996606656","-90.26426674798003","February 23 - March 01, 2025"
"40","ID:619","Louisiana","Jefferson","No Samples in Last Week","2025-01-27","163451","29.978712942418625","-90.03306365889645","February 23 - March 01, 2025"
"41","ID:620","Louisiana","Jefferson","No Samples in Last Week","2025-01-05","333342","29.98757342294088","-90.31176873554841","February 23 - March 01, 2025"
"42","ID:621","Louisiana","Jefferson","No Samples in Last Week","2025-01-06","173101","29.906151448070702","-90.19629561862395","February 23 - March 01, 2025"
"43","ID:2218","Louisiana","La Salle","No Samples in Last Week","2025-01-06","4146","31.78423173513973","-91.99143492523376","February 23 - March 01, 2025"
"44","ID:2249","Louisiana","Lincoln","No Samples in Last Week","2025-01-07","22500","32.43826865641527","-92.57836479708602","February 23 - March 01, 2025"
"45","ID:657","Louisiana","Ouachita","No Samples in Last Week","2025-01-06","76000","32.42507807962894","-92.08004912105115","February 23 - March 01, 2025"
"46","ID:667","Louisiana","Red River","No Samples in Last Week","2025-01-06","3838","31.88089492457266","-93.31429815546464","February 23 - March 01, 2025"
"47","ID:2295","Louisiana","Saint Bernard","No Samples in Last Week","2025-01-06","45000","29.952403936459717","-89.81533371282076","February 23 - March 01, 2025"
"48","ID:2220","Louisiana","Saint Charles","No Samples in Last Week","2025-01-07","25000","30.036863366152822","-90.44710093242396","February 23 - March 01, 2025"
"49","ID:686","Louisiana","Terrebonne","No Samples in Last Week","2025-01-06","50000","29.5252726824633","-90.79006575512444","February 23 - March 01, 2025"
"50","ID:687","Louisiana","Terrebonne","No Samples in Last Week","2025-01-06","30000","29.621795895666256","-90.71860719911757","February 23 - March 01, 2025"
"51","ID:2227","Louisiana","Vernon","No Samples in Last Week","2025-01-05","18000","31.115544137011117","-93.40044065876313","February 23 - March 01, 2025"
"52","ID:690","Louisiana","Washington","No Samples in Last Week","2025-01-06","13675","30.870382808431","-89.99757879543968","February 23 - March 01, 2025"
"53","ID:732","Maryland","Anne Arundel","No Samples in Last Week","2024-09-05","13296","38.990011410012244","-76.80569028685478","February 23 - March 01, 2025"
"54","ID:1184","New Hampshire","Cheshire","No Samples in Last Week","2025-02-17","30000","42.975716489777554","-72.38140602911214","February 23 - March 01, 2025"
"55","ID:1185","New Hampshire","Coos","No Samples in Last Week","2025-02-18","10000","44.58217018205133","-71.22344202591069","February 23 - March 01, 2025"
"56","ID:1186","New Hampshire","Grafton","No Samples in Last Week","2025-02-18","11000","43.84760551991928","-72.2356052288151","February 23 - March 01, 2025"
"57","ID:1187","New Hampshire","Grafton","No Samples in Last Week","2025-02-19","7000","43.611968802643105","-71.79982931706107","February 23 - March 01, 2025"
"58","ID:1188","New Hampshire","Hillsborough","No Samples in Last Week","2025-02-18","172000","42.89478174484675","-71.29170534566546","February 23 - March 01, 2025"
"59","ID:1189","New Hampshire","Hillsborough","No Samples in Last Week","2025-02-17","26632","42.7730053344075","-71.57131628680102","February 23 - March 01, 2025"
"60","ID:1193","New Hampshire","Rockingham","No Samples in Last Week","2025-02-18","3500","43.15580207278728","-71.04847095897678","February 23 - March 01, 2025"
"61","ID:1195","New Hampshire","Rockingham","No Samples in Last Week","2025-02-17","22000","42.995250054950645","-70.80909865152856","February 23 - March 01, 2025"
"62","ID:2442","New Hampshire","Strafford","No Samples in Last Week","2025-02-17","32000","43.33431701948373","-70.73432140193145","February 23 - March 01, 2025"
"63","ID:1197","New Hampshire","Strafford","No Samples in Last Week","2025-02-17","14638","43.28142782559994","-70.83368919143203","February 23 - March 01, 2025"
"64","ID:1221","New Jersey","Salem","No Samples in Last Week","2025-01-29","5500","39.70859533817701","-75.60996870945932","February 23 - March 01, 2025"
