"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:16","Alaska","Juneau","No Samples in Last Week","2024-12-05","22000","58.218107602046615","-134.57114319244403","January 05 - January 11, 2025"
"2","ID:95","California","Butte","No Samples in Last Week","2024-12-12","44000","39.538354996875796","-121.57964231578683","January 05 - January 11, 2025"
"3","ID:96","California","Butte","No Samples in Last Week","2024-12-03","101299","39.82762451788729","-121.72723310712306","January 05 - January 11, 2025"
"4","ID:98","California","Contra Costa","No Samples in Last Week","2024-12-01","218281","38.00396287570457","-121.6571717704293","January 05 - January 11, 2025"
"5","ID:100","California","Del Norte","No Samples in Last Week","2024-12-03","15372","41.901447247367884","-124.27856817772802","January 05 - January 11, 2025"
"6","ID:103","California","Humboldt","No Samples in Last Week","2024-12-01","45000","40.77306521588287","-124.25698523393318","January 05 - January 11, 2025"
"7","ID:106","California","Kern","No Samples in Last Week","2024-12-03","168750","35.302953560165435","-118.89065207009283","January 05 - January 11, 2025"
"8","ID:111","California","Lake","No Samples in Last Week","2024-12-01","13200","39.06554431134312","-122.62751050997102","January 05 - January 11, 2025"
"9","ID:129","California","Napa","No Samples in Last Week","2024-12-01","20256","38.31567136666819","-122.38790671186706","January 05 - January 11, 2025"
"10","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-12-01","50000","39.34708362937681","-120.30559772243589","January 05 - January 11, 2025"
"11","ID:135","California","Orange","No Samples in Last Week","2024-12-02","1800000","33.673926652803836","-117.9848914587738","January 05 - January 11, 2025"
"12","ID:136","California","Placer","No Samples in Last Week","2024-12-01","108444","38.63975725517951","-121.39409125455548","January 05 - January 11, 2025"
"13","ID:137","California","Plumas","No Samples in Last Week","2024-12-02","4217","40.071112285319764","-120.81946273269473","January 05 - January 11, 2025"
"14","ID:144","California","San Bernardino","No Samples in Last Week","2024-12-02","325000","34.20954893713601","-117.34652813765605","January 05 - January 11, 2025"
"15","ID:149","California","San Francisco","No Samples in Last Week","2024-12-10","9923","37.86780166990445","-122.37019231799395","January 05 - January 11, 2025"
"16","ID:150","California","San Francisco","No Samples in Last Week","2024-12-10","11738","37.72957133118079","-122.3201925662064","January 05 - January 11, 2025"
"17","ID:151","California","San Francisco","No Samples in Last Week","2024-12-10","6308","37.672539607601855","-122.39916993723102","January 05 - January 11, 2025"
"18","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-12-10","66446","37.59532634479034","-122.25730515641068","January 05 - January 11, 2025"
"19","ID:153","California","San Francisco","No Samples in Last Week","2024-12-10","3882","37.69048425018497","-122.4245887192431","January 05 - January 11, 2025"
"20","ID:154","California","San Francisco","No Samples in Last Week","2024-12-10","4416","37.64977660990894","-122.3181186356201","January 05 - January 11, 2025"
"21","ID:165","California","San Luis Obispo","No Samples in Last Week","2024-12-02","47545","35.21591212145242","-120.52238644016363","January 05 - January 11, 2025"
"22","ID:172","California","Santa Barbara","No Samples in Last Week","2024-12-02","77600","34.37567313568334","-119.69093801576537","January 05 - January 11, 2025"
"23","ID:182","California","Shasta","No Samples in Last Week","2024-12-03","60000","40.3369996220523","-122.4363447374336","January 05 - January 11, 2025"
"24","ID:189","California","Sutter","No Samples in Last Week","2024-12-01","70000","39.08846665621518","-121.56349133493768","January 05 - January 11, 2025"
"25","ID:281","Delaware","New Castle","No Samples in Last Week","2024-12-15","17145","39.55972573396385","-75.57374547354934","January 05 - January 11, 2025"
"26","ID:283","Delaware","New Castle","No Samples in Last Week","2024-12-15","539000","39.81089029914784","-75.46879243783954","January 05 - January 11, 2025"
"27","ID:284","Delaware","Sussex","No Samples in Last Week","2024-12-16","7000","38.70083898005674","-75.27827984842457","January 05 - January 11, 2025"
"28","ID:286","Delaware","Kent","No Samples in Last Week","2024-12-15","130000","38.93839759333522","-75.4250418707906","January 05 - January 11, 2025"
"29","ID:287","Delaware","Sussex","No Samples in Last Week","2024-12-11","4392","38.60237636203044","-75.63160710281316","January 05 - January 11, 2025"
"30","ID:289","Delaware","Sussex","No Samples in Last Week","2024-12-22","75000","38.71718538957004","-74.98689631658556","January 05 - January 11, 2025"
"31","ID:709","Maine","Lincoln","No Samples in Last Week","2024-12-03","2222","43.915784597831816","-69.60051954356534","January 05 - January 11, 2025"
"32","ID:1450","North Carolina","Buncombe, Henderson","No Samples in Last Week","2024-12-10","173000","35.545415416033684","-82.55450010588389","January 05 - January 11, 2025"
"33","ID:1453","North Carolina","Carteret","No Samples in Last Week","2024-12-13","3500","34.68305025414803","-76.6932695917532","January 05 - January 11, 2025"
"34","ID:1457","North Carolina","Wake","No Samples in Last Week","2024-12-10","75886","35.7613899219082","-78.99872293077928","January 05 - January 11, 2025"
"35","ID:1459","North Carolina","Cumberland","No Samples in Last Week","2024-12-10","151589","35.07994976078864","-79.0289390522165","January 05 - January 11, 2025"
"36","ID:1461","North Carolina","Durham","No Samples in Last Week","2024-12-17","142000","35.90733465761986","-78.75176467238455","January 05 - January 11, 2025"
"37","ID:1468","North Carolina","Guilford","No Samples in Last Week","2024-12-10","135821","36.0026093769341","-79.6172997416495","January 05 - January 11, 2025"
"38","ID:1475","North Carolina","Mcdowell","No Samples in Last Week","2024-12-09","8459","35.810864290729285","-82.0153051856024","January 05 - January 11, 2025"
"39","ID:1476","North Carolina","Mecklenburg","No Samples in Last Week","2024-12-05","68685","35.54926111409581","-80.72687536666588","January 05 - January 11, 2025"
"40","ID:1478","North Carolina","Mecklenburg","No Samples in Last Week","2024-12-05","182501","35.13068856751948","-80.9340481465711","January 05 - January 11, 2025"
"41","ID:1479","North Carolina","Mecklenburg","No Samples in Last Week","2024-12-02","120000","35.30438652345209","-80.68529026537362","January 05 - January 11, 2025"
"42","ID:1481","North Carolina","Mecklenburg","No Samples in Last Week","2024-12-02","82158","35.362580421946724","-80.88707586698442","January 05 - January 11, 2025"
"43","ID:1483","North Carolina","New Hanover","No Samples in Last Week","2024-12-03","58361","34.27905738774012","-77.95477644997739","January 05 - January 11, 2025"
