"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2298","Texas","Victoria","No Samples in Last Week","2024-08-06","65800","28.75899337524749","-97.19633444705173","January 26 - February 01, 2025"
"2","ID:2281","Texas","Taylor","No Samples in Last Week","2024-08-06","125000","32.39939517418956","-99.81600648143585","January 26 - February 01, 2025"
"3","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.97775319755827","-78.9345254898522","January 26 - February 01, 2025"
"4","ID:149","California","San Francisco","No Samples in Last Week","2024-12-10","9923","37.72978856653938","-122.50313378360893","January 26 - February 01, 2025"
"5","ID:2410","Texas","Hidalgo","No Samples in Last Week","2024-12-03","16782","26.19768684229792","-98.05911519635285","January 26 - February 01, 2025"
"6","ID:1843","Texas","Andrews","No Samples in Last Week","2024-08-06","13502","32.3787435934139","-102.46357445328843","January 26 - February 01, 2025"
"7","ID:1485","North Carolina","Onslow","No Samples in Last Week","2025-01-07","41819","34.74566286788883","-77.44205868145222","January 26 - February 01, 2025"
"8","ID:154","California","San Francisco","No Samples in Last Week","2024-11-26","4416","37.84725638151935","-122.29108997542394","January 26 - February 01, 2025"
"9","ID:1489","North Carolina","Pitt","No Samples in Last Week","2024-04-30","89616","35.673294675105595","-77.36912932642394","January 26 - February 01, 2025"
"10","ID:1483","North Carolina","New Hanover","No Samples in Last Week","2024-12-03","58361","34.27082005103069","-77.84472682232126","January 26 - February 01, 2025"
"11","ID:2140","Wisconsin","Marinette","No Samples in Last Week","2024-09-08","3500","44.971920524915845","-87.87949590321172","January 26 - February 01, 2025"
"12","ID:1450","North Carolina","Buncombe, Henderson","No Samples in Last Week","2024-03-26","173000","35.6898144322637","-82.45155388649277","January 26 - February 01, 2025"
"13","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","37.67773422970921","-122.52504210526432","January 26 - February 01, 2025"
"14","ID:2325","Texas","Henderson","No Samples in Last Week","2024-08-06","13503","32.09682136042375","-95.9140820272096","January 26 - February 01, 2025"
"15","ID:2278","Texas","Jefferson","No Samples in Last Week","2024-08-06","112193","29.99867641508826","-94.23098626160527","January 26 - February 01, 2025"
"16","ID:182","California","Shasta","No Samples in Last Week","2024-11-21","60000","40.32718062016213","-122.23652517448785","January 26 - February 01, 2025"
"17","ID:2275","Texas","Hardin","No Samples in Last Week","2024-07-30","34000","30.093415667523466","-94.322693011841","January 26 - February 01, 2025"
"18","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","39.8419720287837","-120.8145949366257","January 26 - February 01, 2025"
"19","ID:2274","Texas","Anderson","No Samples in Last Week","2024-08-06","19372","31.773714056488263","-95.63154830614747","January 26 - February 01, 2025"
"20","ID:2133","Wisconsin","La Crosse","No Samples in Last Week","2024-09-09","85000","43.85836567231187","-91.20487830264307","January 26 - February 01, 2025"
"21","ID:2108","Wisconsin","Kewaunee, Brown","No Samples in Last Week","2024-09-07","189000","44.58818469487497","-88.00695666862552","January 26 - February 01, 2025"
"22","ID:1469","North Carolina","Forsyth, Guilford, Randolph, Davidson","No Samples in Last Week","2024-05-21","116390","35.927345486152724","-79.96747839486598","January 26 - February 01, 2025"
"23","ID:1475","North Carolina","Mcdowell","No Samples in Last Week","2024-12-09","8459","35.669303426935045","-81.92105561369965","January 26 - February 01, 2025"
"24","ID:2141","Wisconsin","Milwaukee, Ozaukee","No Samples in Last Week","2024-09-04","470007","42.83056646852433","-87.89216238530473","January 26 - February 01, 2025"
"25","ID:1468","North Carolina","Guilford","No Samples in Last Week","2024-04-02","135821","35.96483273657213","-79.72510365293567","January 26 - February 01, 2025"
"26","ID:1484","North Carolina","New Hanover","No Samples in Last Week","2024-05-21","67743","34.08891551653563","-78.02587976755899","January 26 - February 01, 2025"
"27","ID:2122","Wisconsin","Douglas","No Samples in Last Week","2024-09-08","28000","46.564345398440004","-92.24295416684086","January 26 - February 01, 2025"
"28","ID:1472","North Carolina","Jackson","No Samples in Last Week","2025-01-20","13296","35.23602868387836","-83.34258447781656","January 26 - February 01, 2025"
"29","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.82780141360092","-124.16413977324545","January 26 - February 01, 2025"
"30","ID:151","California","San Francisco","No Samples in Last Week","2024-11-26","6308","37.794730895126","-122.40768628429089","January 26 - February 01, 2025"
"31","ID:1492","North Carolina","Scotland","No Samples in Last Week","2024-12-11","15527","34.645496093431916","-79.17417462352884","January 26 - February 01, 2025"
"32","ID:2119","Wisconsin","Dane","No Samples in Last Week","2024-09-09","10757","43.0144605835251","-89.24458346748459","January 26 - February 01, 2025"
"33","ID:153","California","San Francisco","No Samples in Last Week","2024-11-26","3882","37.8610882818868","-122.48067053461922","January 26 - February 01, 2025"
"34","ID:2276","Texas","Hays","No Samples in Last Week","2024-08-06","18000","30.094679318430906","-97.78642437475838","January 26 - February 01, 2025"
"35","ID:2386","Texas","Brazos","No Samples in Last Week","2024-10-29","58250","30.804516395609614","-96.45145244183027","January 26 - February 01, 2025"
"36","ID:1501","North Carolina","Wake","No Samples in Last Week","2024-05-21","550000","35.740690008613285","-78.46031218650441","January 26 - February 01, 2025"
"37","ID:1453","North Carolina","Carteret","No Samples in Last Week","2024-12-13","3500","34.81539939607564","-76.66138564303978","January 26 - February 01, 2025"
"38","ID:103","California","Humboldt","No Samples in Last Week","2024-11-17","45000","40.88633838159965","-124.28691188179664","January 26 - February 01, 2025"
"39","ID:757","Massachusetts","Worcester","No Samples in Last Week","2024-09-10","42000","42.42220085133378","-71.89001453463139","January 26 - February 01, 2025"
"40","ID:1816","South Carolina","Georgetown","No Samples in Last Week","2024-09-11","12000","33.4751184363909","-79.32419629765539","January 26 - February 01, 2025"
"41","ID:129","California","Napa","No Samples in Last Week","2024-11-20","20256","38.16645122424445","-122.12915748035032","January 26 - February 01, 2025"
"42","ID:1906","Texas","Mclennan","No Samples in Last Week","2024-08-06","203344","31.41656201931602","-97.090930507374","January 26 - February 01, 2025"
"43","ID:2280","Texas","Nueces","No Samples in Last Week","2024-08-06","158298","27.711338823321412","-97.34898554800432","January 26 - February 01, 2025"
"44","ID:131","California","El Dorado, Nevada, Placer","No Samples in Last Week","2024-11-17","50000","39.448904318930545","-120.31750170587078","January 26 - February 01, 2025"
