"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2156","Wisconsin","Rock","No Samples in Last Week","2024-09-06","63500","42.68372979514974","-89.06909261951458","June 22, 2025 - June 28, 2025"
"2","ID:1720","Oregon","Clatsop","No Samples in Last Week","2022-12-08","11326","46.17105066764508","-123.81348015335999","June 22, 2025 - June 28, 2025"
"3","ID:2124","Wisconsin","Chippewa, Eau Claire","No Samples in Last Week","2024-09-05","77714","44.823690777632294","-91.51454039439889","June 22, 2025 - June 28, 2025"
"4","ID:1733","Oregon","Lane","No Samples in Last Week","2024-07-15","8925","43.9891004474181","-124.10318822325502","June 22, 2025 - June 28, 2025"
"5","ID:1809","Rhode Island","Providence","No Samples in Last Week","2024-12-03","10000","41.928896427163096","-71.68676700316779","June 22, 2025 - June 28, 2025"
"6","ID:1224","New Jersey","Essex, Union","No Samples in Last Week","2025-01-30","1300000","40.69187220767635","-74.25196364159284","June 22, 2025 - June 28, 2025"
"7","ID:2140","Wisconsin","Marinette","No Samples in Last Week","2024-09-08","3500","45.06221834921889","-87.76129391007723","June 22, 2025 - June 28, 2025"
"8","ID:2296","Arizona","Coconino","No Samples in Last Week","2024-11-13","80000","35.23611691744211","-111.57058016966509","June 22, 2025 - June 28, 2025"
"9","ID:1915","Texas","Travis","No Samples in Last Week","2024-09-09","529541","30.289781493152685","-97.6169875283703","June 22, 2025 - June 28, 2025"
"10","ID:2164","Wisconsin","Vernon","No Samples in Last Week","2024-09-09","4400","43.5526125369417","-90.8975164165606","June 22, 2025 - June 28, 2025"
"11","ID:106","California","Kern","No Samples in Last Week","2024-11-19","168750","35.333073967418194","-119.06961443202067","June 22, 2025 - June 28, 2025"
"12","ID:2129","Wisconsin","Jackson","No Samples in Last Week","2024-09-09","5000","44.28576898841382","-90.84399531328681","June 22, 2025 - June 28, 2025"
"13","ID:137","California","Plumas","No Samples in Last Week","2024-11-21","4217","39.935446378654675","-120.91762346654949","June 22, 2025 - June 28, 2025"
"14","ID:95","California","Butte","No Samples in Last Week","2024-11-21","44000","39.52626426187867","-121.56708897551168","June 22, 2025 - June 28, 2025"
"15","ID:1223","New Jersey","Sussex","No Samples in Last Week","2025-01-29","7751","41.07379179913103","-74.79746423433288","June 22, 2025 - June 28, 2025"
"16","ID:2133","Wisconsin","La Crosse","No Samples in Last Week","2024-09-09","85000","43.797818584974856","-91.22164145580747","June 22, 2025 - June 28, 2025"
"17","ID:1742","Oregon","Marion","No Samples in Last Week","2024-07-24","10520","44.99067644246667","-122.76898881813445","June 22, 2025 - June 28, 2025"
"18","ID:2154","Wisconsin","Racine","No Samples in Last Week","2024-09-08","139000","42.701683166811314","-87.80217026351143","June 22, 2025 - June 28, 2025"
"19","ID:1743","Oregon","Marion","No Samples in Last Week","2024-07-23","10840","44.801151528111816","-122.78000430859058","June 22, 2025 - June 28, 2025"
"20","ID:2108","Wisconsin","Kewaunee, Brown","No Samples in Last Week","2024-09-07","189000","44.50099475695818","-87.97446283091674","June 22, 2025 - June 28, 2025"
"21","ID:1726","Oregon","Douglas","No Samples in Last Week","2024-07-25","30000","43.219995081512074","-123.39621485432517","June 22, 2025 - June 28, 2025"
"22","ID:1221","New Jersey","Salem","No Samples in Last Week","2025-01-29","5500","39.705803674961935","-75.46114152438062","June 22, 2025 - June 28, 2025"
"23","ID:1819","South Carolina","Greenwood","No Samples in Last Week","2024-09-11","12000","34.166187908993244","-82.1217796039301","June 22, 2025 - June 28, 2025"
"24","ID:2132","Wisconsin","Kenosha","No Samples in Last Week","2024-09-05","122000","42.5619287498442","-87.83216609974882","June 22, 2025 - June 28, 2025"
"25","ID:94","California","Contra Costa, Alameda","No Samples in Last Week","2025-05-20","740000","37.842066227318405","-122.31219593402726","June 22, 2025 - June 28, 2025"
"26","ID:23","Arizona","Maricopa","No Samples in Last Week","2024-11-12","17280","33.47739524432734","-111.96423769954548","June 22, 2025 - June 28, 2025"
"27","ID:1811","Rhode Island","Providence","No Samples in Last Week","2024-12-02","240000","41.80852517612168","-71.43368044341798","June 22, 2025 - June 28, 2025"
"28","ID:2141","Wisconsin","Milwaukee, Ozaukee","No Samples in Last Week","2024-09-04","470007","42.980551360211116","-87.9000103751204","June 22, 2025 - June 28, 2025"
"29","ID:2381","Rhode Island","Washington","No Samples in Last Week","2024-12-03","16500","41.36052589154074","-71.81173360366044","June 22, 2025 - June 28, 2025"
"30","ID:2178","Wisconsin","Marathon, Wood","No Samples in Last Week","2024-09-09","19300","44.657939984779084","-90.18009897028863","June 22, 2025 - June 28, 2025"
"31","ID:2167","Wisconsin","Walworth","No Samples in Last Week","2024-09-09","30000","42.63405998312104","-88.6468105638755","June 22, 2025 - June 28, 2025"
"32","ID:2122","Wisconsin","Douglas","No Samples in Last Week","2024-09-08","28000","46.699382343243435","-92.09527796169017","June 22, 2025 - June 28, 2025"
"33","ID:2177","Wisconsin","Winnebago","No Samples in Last Week","2024-09-09","78300","43.99839392250188","-88.5515827125934","June 22, 2025 - June 28, 2025"
"34","ID:100","California","Del Norte","No Samples in Last Week","2024-11-19","15372","41.78497150900756","-124.19009920923668","June 22, 2025 - June 28, 2025"
"35","ID:1739","Oregon","Malheur","No Samples in Last Week","2022-01-11","12000","44.03461480781948","-116.98473515842964","June 22, 2025 - June 28, 2025"
"36","ID:2119","Wisconsin","Dane","No Samples in Last Week","2024-09-09","10757","42.93125586122997","-89.38788109378349","June 22, 2025 - June 28, 2025"
