"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2410","Texas","Hidalgo","No Samples in Last Week","2024-12-03","16782","26.186001149680898","-98.051494488271","March 09 - March 15, 2025"
"2","ID:616","Louisiana","Jefferson","No Samples in Last Week","2025-01-05","50652","29.909885375817268","-90.16365384986965","March 09 - March 15, 2025"
"3","ID:2278","Texas","Jefferson","No Samples in Last Week","2024-08-06","112193","29.99639418123915","-94.10080764863706","March 09 - March 15, 2025"
"4","ID:617","Louisiana","Jefferson","No Samples in Last Week","2024-09-10","64000","30.031070183506095","-90.25111155710101","March 09 - March 15, 2025"
"5","ID:2275","Texas","Hardin","No Samples in Last Week","2024-07-30","34000","30.24481574712809","-94.20752972215836","March 09 - March 15, 2025"
"6","ID:34","Arizona","Pima","No Samples in Last Week","2024-11-25","23000","31.87125316413956","-110.98811328116777","March 09 - March 15, 2025"
"7","ID:35","Arizona","Pima","No Samples in Last Week","2024-11-05","397407","32.35891490653587","-111.14487782231397","March 09 - March 15, 2025"
"8","ID:2281","Texas","Taylor","No Samples in Last Week","2024-08-06","125000","32.4887116841136","-99.7175321536664","March 09 - March 15, 2025"
"9","ID:28","Arizona","Maricopa","No Samples in Last Week","2024-11-05","6500","33.2784180266012","-111.89966836397528","March 09 - March 15, 2025"
"10","ID:22","Arizona","Maricopa","No Samples in Last Week","2024-11-12","53578","33.24517779368552","-111.996793871727","March 09 - March 15, 2025"
"11","ID:23","Arizona","Maricopa","No Samples in Last Week","2024-11-12","17280","33.34283445826015","-112.01045345834672","March 09 - March 15, 2025"
"12","ID:25","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9848","33.46285020678387","-112.02066867927971","March 09 - March 15, 2025"
"13","ID:30","Arizona","Maricopa","No Samples in Last Week","2024-11-12","19260","33.70731428873476","-112.42928572427603","March 09 - March 15, 2025"
"14","ID:29","Arizona","Maricopa","No Samples in Last Week","2024-11-07","130000","33.64295010285249","-112.38948821550338","March 09 - March 15, 2025"
"15","ID:2296","Arizona","Coconino","No Samples in Last Week","2024-11-13","80000","35.2359227240032","-111.57117103192199","March 09 - March 15, 2025"
"16","ID:1450","North Carolina","Buncombe, Henderson","No Samples in Last Week","2024-03-26","173000","35.639971547974646","-82.56697615083515","March 09 - March 15, 2025"
"17","ID:1501","North Carolina","Wake","No Samples in Last Week","2024-05-21","550000","35.758242612850495","-78.57467234246431","March 09 - March 15, 2025"
"18","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.868901457705185","-79.02518567306919","March 09 - March 15, 2025"
"19","ID:1462","North Carolina","Forsyth","No Samples in Last Week","2024-04-09","178000","36.066920534693814","-80.35711559728843","March 09 - March 15, 2025"
"20","ID:1514","Ohio","Athens","No Samples in Last Week","2025-02-24","24536","39.32212529902809","-82.10123191733399","March 09 - March 15, 2025"
"21","ID:1642","Ohio","Montgomery","No Samples in Last Week","2025-02-19","79000","39.66319200384959","-84.23979343240768","March 09 - March 15, 2025"
"22","ID:1555","Ohio","Franklin","No Samples in Last Week","2025-02-23","654817","39.80792401032779","-82.96772239506934","March 09 - March 15, 2025"
"23","ID:1558","Ohio","Greene","No Samples in Last Week","2025-02-23","46160","39.71669481661186","-84.0379054119334","March 09 - March 15, 2025"
"24","ID:1604","Ohio","Licking","No Samples in Last Week","2025-02-23","45000","40.07253121823948","-82.41512603758693","March 09 - March 15, 2025"
"25","ID:1683","Ohio","Union","No Samples in Last Week","2025-02-23","24677","40.23967427815477","-83.3690813063354","March 09 - March 15, 2025"
"26","ID:1630","Ohio","Marion","No Samples in Last Week","2025-02-19","36000","40.58154585261982","-83.12269344990055","March 09 - March 15, 2025"
"27","ID:1665","Ohio","Richland","No Samples in Last Week","2025-02-23","52000","40.773344230987064","-82.47477811528162","March 09 - March 15, 2025"
