"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2348","California","Placer","No Samples in Last Week","2024-05-22","130000","38.727065247719636","-121.31578931807715","March 23, 2025 - March 29, 2025"
"2","ID:1613","Ohio","Lucas","No Samples in Last Week","2025-02-23","322446","41.732843","-83.455401","March 23, 2025 - March 29, 2025"
"3","ID:2249","Louisiana","Lincoln","No Samples in Last Week","2025-01-07","22500","32.47842161328931","-92.63465718697218","March 23, 2025 - March 29, 2025"
"4","ID:915","Michigan","Muskegon","No Samples in Last Week","2025-01-15","28000","43.20934767769344","-86.0428381379401","March 23, 2025 - March 29, 2025"
"5","ID:1595","Ohio","Huron","No Samples in Last Week","2025-02-23","17000","41.23324546986446","-82.60202418961204","March 23, 2025 - March 29, 2025"
"6","ID:1511","Ohio","Ashtabula","No Samples in Last Week","2025-02-23","31430","41.86767899409824","-80.79610780540297","March 23, 2025 - March 29, 2025"
"7","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.866455845955095","-79.02428984195339","March 23, 2025 - March 29, 2025"
"8","ID:852","Michigan","Kalamazoo","No Samples in Last Week","2024-08-26","3416","42.28488041606721","-85.55371515290534","March 23, 2025 - March 29, 2025"
"9","ID:17","Arizona","La Paz","No Samples in Last Week","2024-11-13","3500","33.701620659423256","-114.25081096431879","March 23, 2025 - March 29, 2025"
"10","ID:847","Michigan","Kalamazoo","No Samples in Last Week","2024-08-26","12366","42.21591548986663","-85.65724447570055","March 23, 2025 - March 29, 2025"
"11","ID:149","California","San Francisco","No Samples in Last Week","2024-01-07","9923","37.85678461126821","-122.51343304973602","March 23, 2025 - March 29, 2025"
"12","ID:1630","Ohio","Marion","No Samples in Last Week","2025-02-19","36000","40.5257159066182","-83.19368486846828","March 23, 2025 - March 29, 2025"
