"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2156","Wisconsin","Rock","No Samples in Last Week","2024-09-06","63500","42.68372979514974","-89.06909261951458","March 30, 2025 - April 05, 2025"
"2","ID:2348","California","Placer","No Samples in Last Week","2024-05-22","130000","38.760216152792246","-121.28681309897058","March 30, 2025 - April 05, 2025"
"3","ID:1613","Ohio","Lucas","No Samples in Last Week","2025-02-23","322446","41.732843","-83.455401","March 30, 2025 - April 05, 2025"
"4","ID:2298","Texas","Victoria","No Samples in Last Week","2024-08-06","65800","28.78094951765858","-97.05072621897062","March 30, 2025 - April 05, 2025"
"5","ID:2249","Louisiana","Lincoln","No Samples in Last Week","2025-01-07","22500","32.50832684840971","-92.59532972909247","March 30, 2025 - April 05, 2025"
"6","ID:915","Michigan","Muskegon","No Samples in Last Week","2025-01-15","28000","43.244780948039065","-86.21298667090561","March 30, 2025 - April 05, 2025"
"7","ID:1595","Ohio","Huron","No Samples in Last Week","2025-02-23","17000","41.23284377879924","-82.60183572646257","March 30, 2025 - April 05, 2025"
"8","ID:2281","Texas","Taylor","No Samples in Last Week","2024-08-06","125000","32.48887151135923","-99.71748105432893","March 30, 2025 - April 05, 2025"
"9","ID:1511","Ohio","Ashtabula","No Samples in Last Week","2025-02-23","31430","41.868231669295","-80.79576222952576","March 30, 2025 - April 05, 2025"
"10","ID:1487","North Carolina","Durham, Orange","No Samples in Last Week","2024-04-30","108105","35.86708851864267","-79.024176148252","March 30, 2025 - April 05, 2025"
"11","ID:1720","Oregon","Clatsop","No Samples in Last Week","2022-12-08","11326","46.17105066764508","-123.81348015335999","March 30, 2025 - April 05, 2025"
"12","ID:852","Michigan","Kalamazoo","No Samples in Last Week","2024-08-26","3416","42.365716130684596","-85.6044934253276","March 30, 2025 - April 05, 2025"
"13","ID:2124","Wisconsin","Chippewa, Eau Claire","No Samples in Last Week","2024-09-05","77714","44.823690777632294","-91.51454039439889","March 30, 2025 - April 05, 2025"
"14","ID:17","Arizona","La Paz","No Samples in Last Week","2024-11-13","3500","33.61358648043593","-114.20388710850494","March 30, 2025 - April 05, 2025"
"15","ID:847","Michigan","Kalamazoo","No Samples in Last Week","2024-08-26","12366","42.31164297718508","-85.5126588441445","March 30, 2025 - April 05, 2025"
"16","ID:149","California","San Francisco","No Samples in Last Week","2024-12-10","9923","37.85704631181363","-122.5146762562939","March 30, 2025 - April 05, 2025"
"17","ID:1630","Ohio","Marion","No Samples in Last Week","2025-02-19","36000","40.496754442535135","-83.07479481896361","March 30, 2025 - April 05, 2025"
"18","ID:25","Arizona","Maricopa","No Samples in Last Week","2024-11-05","9848","33.291302035553855","-112.02310327443818","March 30, 2025 - April 05, 2025"
"19","ID:28","Arizona","Maricopa","No Samples in Last Week","2024-11-05","6500","33.278245291932485","-111.948448463434","March 30, 2025 - April 05, 2025"
"20","ID:848","Michigan","Kalamazoo","No Samples in Last Week","2024-08-26","20122","42.33183907424787","-85.38220665405429","March 30, 2025 - April 05, 2025"
"21","ID:861","Michigan","Kent","No Samples in Last Week","2024-12-22","265000","42.95234267040056","-85.59391966103702","March 30, 2025 - April 05, 2025"
"22","ID:2410","Texas","Hidalgo","No Samples in Last Week","2024-12-03","16782","26.185223705186576","-98.05174802506478","March 30, 2025 - April 05, 2025"
"23","ID:1598","Ohio","Jefferson","No Samples in Last Week","2025-02-23","17864","40.38199890895578","-80.64677753716404","March 30, 2025 - April 05, 2025"
"24","ID:2356","Michigan","Ottawa","No Samples in Last Week","2024-12-04","3000","43.02577039958453","-86.20497165910062","March 30, 2025 - April 05, 2025"
"25","ID:1485","North Carolina","Onslow","No Samples in Last Week","2025-01-07","41819","34.876275232823524","-77.58088645995912","March 30, 2025 - April 05, 2025"
"26","ID:154","California","San Francisco","No Samples in Last Week","2024-11-26","4416","37.609692607108","-122.49251272672508","March 30, 2025 - April 05, 2025"
"27","ID:172","California","Santa Barbara","No Samples in Last Week","2024-11-21","77600","34.42773707272031","-119.68184192550467","March 30, 2025 - April 05, 2025"
"28","ID:922","Michigan","Ottawa","No Samples in Last Week","2024-12-02","20000","42.995289285761984","-85.88695853724704","March 30, 2025 - April 05, 2025"
"29","ID:27","Arizona","Maricopa","No Samples in Last Week","2024-11-12","23746","33.61707121258963","-111.95187285532201","March 30, 2025 - April 05, 2025"
"30","ID:1682","Ohio","Tuscarawas","No Samples in Last Week","2025-02-23","13572","40.53507795228118","-81.47985648847703","March 30, 2025 - April 05, 2025"
"31","ID:1555","Ohio","Franklin","No Samples in Last Week","2025-02-23","654817","39.808610909090056","-82.9684395676176","March 30, 2025 - April 05, 2025"
"32","ID:1557","Ohio","Fulton","No Samples in Last Week","2025-02-23","6000","41.52546919022514","-84.30866135499042","March 30, 2025 - April 05, 2025"
"33","ID:891","Michigan","Mackinac","No Samples in Last Week","2025-01-15","3460","45.9313040084981","-84.74427826443552","March 30, 2025 - April 05, 2025"
"34","ID:990","Michigan","Wexford","No Samples in Last Week","2024-10-28","10450","44.25374788757867","-85.41815713664833","March 30, 2025 - April 05, 2025"
"35","ID:1673","Ohio","Sandusky","No Samples in Last Week","2025-02-23","25000","41.35370598421257","-83.1154123939399","March 30, 2025 - April 05, 2025"
"36","ID:1489","North Carolina","Pitt","No Samples in Last Week","2024-04-30","89616","35.615507694416486","-77.39592406101207","March 30, 2025 - April 05, 2025"
"37","ID:846","Michigan","Kalamazoo","No Samples in Last Week","2023-11-01","194170","42.27209330597704","-85.65619966868944","March 30, 2025 - April 05, 2025"
"38","ID:2358","Michigan","Ottawa","No Samples in Last Week","2024-11-06","8000","43.107254842098754","-86.19133605310662","March 30, 2025 - April 05, 2025"
"39","ID:1479","North Carolina","Mecklenburg","No Samples in Last Week","2024-11-25","120000","35.35653885424906","-80.77896594680351","March 30, 2025 - April 05, 2025"
"40","ID:1690","Ohio","Williams","No Samples in Last Week","2025-02-23","8655","41.473171673832965","-84.55550517277601","March 30, 2025 - April 05, 2025"
"41","ID:180","California","Santa Cruz, Monterey","No Samples in Last Week","2024-05-22","60000","36.984439366944905","-121.81329206871919","March 30, 2025 - April 05, 2025"
"42","ID:924","Michigan","Ottawa","No Samples in Last Week","2024-08-25","45608","42.54066576760731","-86.22391230160703","March 30, 2025 - April 05, 2025"
"43","ID:1564","Ohio","Hamilton","No Samples in Last Week","2025-02-23","143000","39.11504705554396","-84.43003480879577","March 30, 2025 - April 05, 2025"
"44","ID:1674","Ohio","Scioto","No Samples in Last Week","2025-02-24","20366","38.764330771847604","-82.94655106187894","March 30, 2025 - April 05, 2025"
